District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Mumbai,0.0,Rejected,0.0,0.0,0.0
Mumbai,1.0,Rejected,0.0,0.0,0.0
Mumbai,2.0,Rejected,0.0,0.0,0.0
Mumbai,3.0,Rejected,0.0,0.0,0.0
Mumbai,4.0,Rejected,0.0,0.0,0.0
Mumbai,5.0,Rejected,0.0,0.0,0.0
Mumbai,6.0,Rejected,0.0,0.0,0.0
Mumbai,7.0,Rejected,0.0,0.0,0.0
Mumbai,8.0,Rejected,0.0,0.0,0.0
Mumbai,9.0,Rejected,0.0,0.0,0.0
Mumbai,10.0,Rejected,0.0,0.0,0.0
Mumbai,11.0,Rejected,0.0,0.0,0.0
Mumbai,12.0,Rejected,0.0,0.0,0.0
Mumbai,13.0,Rejected,0.0,0.0,0.0
Mumbai,14.0,Rejected,0.0,0.0,0.0
Mumbai,15.0,Rejected,0.0,0.0,0.0
Mumbai,16.0,Rejected,0.0,0.0,0.0
Mumbai,17.0,Rejected,0.0,0.0,0.0
Mumbai,18.0,Rejected,0.0,0.0,0.0
Mumbai,19.0,Rejected,0.0,0.0,0.0
Mumbai,20.0,Rejected,0.0,0.0,0.0
Mumbai,21.0,Rejected,0.0,0.0,0.0
Mumbai,22.0,Rejected,0.0,0.0,0.0
Mumbai,23.0,Rejected,0.0,0.0,0.0
Mumbai,24.0,Rejected,0.0,0.0,0.0
Mumbai,25.0,Rejected,0.0,0.0,0.0
Mumbai,26.0,Rejected,0.0,0.0,0.0
Mumbai,27.0,Rejected,0.0,0.0,0.0
Mumbai,28.0,Rejected,0.0,0.0,0.0
Mumbai,29.0,Rejected,0.0,0.0,0.0
Mumbai,30.0,Rejected,0.0,0.0,0.0
Mumbai,31.0,Rejected,0.0,0.0,0.009496
Mumbai,32.0,Rejected,0.0,0.0,0.016801
Mumbai,33.0,Rejected,0.0,0.0,0.252009
Mumbai,34.0,Rejected,0.0,0.0,0.037984
Mumbai,35.0,Rejected,0.0,0.0,0.0
Mumbai,36.0,Rejected,0.0,0.0,0.0
Mumbai,37.0,Rejected,0.0,0.0,0.0
Mumbai,38.0,Rejected,0.0,0.0,0.0
Mumbai,39.0,Rejected,0.0,0.0,0.0
Mumbai,40.0,Rejected,0.0,0.0,0.0
Mumbai,41.0,Rejected,0.0,0.0,0.0
Mumbai,42.0,Rejected,0.0,0.0,0.0
Mumbai,43.0,Rejected,0.0,0.0,0.0
Mumbai,44.0,Rejected,0.0,0.0,0.0
Mumbai,45.0,Rejected,0.0,0.0,0.0
Mumbai,46.0,Rejected,0.0,0.0,0.0
Mumbai,47.0,Rejected,0.0,0.0,0.0
Mumbai,48.0,Rejected,0.0,0.0,0.0
Mumbai,49.0,Rejected,0.0,0.0,0.0
Mumbai,50.0,Rejected,0.0,0.0,0.0
Mumbai,51.0,Rejected,0.0,0.0,0.0
Mumbai,52.0,Rejected,0.0,0.0,0.0
Mumbai,53.0,Rejected,0.0,0.0,0.0
Mumbai,54.0,Rejected,0.0,0.0,0.0
Mumbai,55.0,Rejected,0.0,0.0,0.0
Mumbai,56.0,Rejected,0.0,0.0,0.0
Mumbai,57.0,Rejected,0.0,0.0,0.0
Mumbai,58.0,Rejected,0.0,0.0,0.0
Mumbai,59.0,Rejected,0.0,0.0,0.0
Mumbai,60.0,Rejected,0.0,0.0,0.0
Mumbai,61.0,Rejected,0.0,0.0,0.008766
Mumbai,62.0,Rejected,0.0,0.016801,0.252009
Mumbai,63.0,Rejected,0.0,0.035793,0.109569
Mumbai,64.0,Rejected,0.0,0.0,0.452885
Mumbai,65.0,Rural,0.0,0.0,0.626004
Mumbai,66.0,Rejected,0.0,0.0,0.0
Mumbai,67.0,Rejected,0.0,0.0,0.0
Mumbai,68.0,Rural,0.0,0.0,0.553689
Mumbai,69.0,Rural,0.0,0.0,0.653031
Mumbai,70.0,Rural,0.0,0.0,0.896275
Mumbai,71.0,Rural,0.0,0.0,1.0
Mumbai,72.0,Rural,0.0,0.0,0.994887
Mumbai,73.0,Rural,0.0,0.0,0.867787
Mumbai,74.0,Rural,0.0,0.0,0.759679
Mumbai,75.0,Rejected,0.0,0.0,0.290185
Mumbai,76.0,Rejected,0.0,0.0,0.0
Mumbai,77.0,Rejected,0.0,0.0,0.0
Mumbai,78.0,Rejected,0.0,0.0,0.0
Mumbai,79.0,Rejected,0.0,0.0,0.0
Mumbai,80.0,Rejected,0.0,0.0,0.008766
Mumbai,81.0,Rejected,0.0,0.020453,0.438276
Mumbai,82.0,Rejected,0.0,0.100073,0.353543
Mumbai,83.0,Rejected,0.0,0.0,0.005844
Mumbai,84.0,Rejected,0.0,0.0,0.0
Mumbai,85.0,Rejected,0.0,0.0,0.0
Mumbai,86.0,Rejected,0.0,0.0,0.0
Mumbai,87.0,Rejected,0.0,0.0,0.0
Mumbai,88.0,Rejected,0.0,0.0,0.0
Mumbai,89.0,Rejected,0.0,0.0,0.0
Mumbai,90.0,Rejected,0.0,0.0,0.0
Mumbai,91.0,Rejected,0.0,0.0,0.0
Mumbai,92.0,Rejected,0.0,0.0,0.0
Mumbai,93.0,Rejected,0.0,0.0,0.0
Mumbai,94.0,Rejected,0.0,0.0,0.0
Mumbai,95.0,Rejected,0.0,0.0,0.0
Mumbai,96.0,Rejected,0.0,0.0,0.0
Mumbai,97.0,Rejected,0.0,0.0,0.0
Mumbai,98.0,Rejected,0.0,0.0,0.0
Mumbai,99.0,Rejected,0.0,0.0,0.0
Mumbai,100.0,Rural,0.0,0.056245,0.512783
Mumbai,101.0,Rural,0.0,0.088386,0.862673
Mumbai,102.0,Rural,0.0,0.0,0.957633
Mumbai,103.0,Rural,0.0,0.0,0.99927
Mumbai,104.0,Rejected,0.0,0.0,0.489331
Mumbai,105.0,Rejected,0.0,0.0,0.353543
Mumbai,106.0,Rejected,0.0,0.0,0.495252
Mumbai,107.0,Rejected,0.0,0.0,0.353543
Mumbai,108.0,Rural,0.0,0.0,0.937911
Mumbai,109.0,Rural,0.0,0.0,0.977356
Mumbai,110.0,Rural,0.0,0.0,1.0
Mumbai,111.0,Rural,0.0,0.0,1.0
Mumbai,112.0,Rural,0.0,0.0,1.0
Mumbai,113.0,Rejected,0.0,0.0,0.191323
Mumbai,114.0,Rejected,0.0,0.0,0.236669
Mumbai,115.0,Rural,0.0,0.0,0.584368
Mumbai,116.0,Rejected,0.0,0.0,0.154858
Mumbai,117.0,Rejected,0.0,0.0,0.0
Mumbai,118.0,Rejected,0.0,0.0,0.0
Mumbai,119.0,Rejected,0.0,0.0,0.023375
Mumbai,120.0,Rural,0.0,0.120526,0.65011
Mumbai,121.0,PeriUrban,0.0,0.605551,0.231556
Mumbai,122.0,Rejected,0.0,0.341855,0.127831
Mumbai,123.0,Rejected,0.0,0.0,0.0
Mumbai,124.0,Rejected,0.0,0.0,0.0
Mumbai,125.0,Rejected,0.0,0.0,0.0
Mumbai,126.0,Rejected,0.0,0.0,0.0
Mumbai,127.0,Rejected,0.0,0.0,0.0
Mumbai,128.0,Rejected,0.0,0.0,0.0
Mumbai,129.0,Rejected,0.0,0.0,0.0
Mumbai,130.0,Rejected,0.0,0.0,0.0
Mumbai,131.0,Rejected,0.0,0.0,0.0
Mumbai,132.0,Rejected,0.0,0.0,0.0
Mumbai,133.0,Rejected,0.0,0.0,0.0
Mumbai,134.0,Rejected,0.0,0.0,0.0
Mumbai,135.0,Rejected,0.0,0.0,0.0
Mumbai,136.0,Rejected,0.0,0.0,0.0
Mumbai,137.0,Rejected,0.0,0.0,0.0
Mumbai,138.0,Rejected,0.0,0.0,0.136596
Mumbai,139.0,Rural,0.0,0.035793,0.566107
Mumbai,140.0,Rural,0.0,0.0,0.636231
Mumbai,141.0,Rural,0.0,0.0,1.0
Mumbai,142.0,Rural,0.0,0.032717,0.967283
Mumbai,143.0,Rural,0.0,0.0,1.0
Mumbai,144.0,Rural,0.0,0.0,0.996348
Mumbai,145.0,Rural,0.0,0.0,0.677867
Mumbai,146.0,Rejected,0.0,0.0,0.208912
Mumbai,147.0,Rural,0.0,0.0,0.673484
Mumbai,148.0,Rural,0.0,0.0,1.0
Mumbai,149.0,Rural,0.0,0.0,1.0
Mumbai,150.0,Rural,0.0,0.0,0.921841
Mumbai,151.0,Rejected,0.0,0.0,0.000711
Mumbai,152.0,Rejected,0.0,0.0,0.289993
Mumbai,153.0,Rural,0.0,0.021183,0.834186
Mumbai,154.0,Rejected,0.0,0.235208,0.197224
Mumbai,155.0,Rejected,0.0,0.0,0.026297
Mumbai,156.0,Rejected,0.0,0.0,0.0
Mumbai,157.0,Rejected,0.0,0.004383,0.0
Mumbai,158.0,Urban,0.44485,0.268809,0.0
Mumbai,159.0,Urban,0.788167,0.211833,0.0
Mumbai,160.0,PeriUrban,0.093499,0.662527,0.22206
Mumbai,161.0,Rural,0.0,0.134424,0.524893
Mumbai,162.0,PeriUrban,0.019722,0.750913,0.017531
Mumbai,163.0,PeriUrban,0.003652,0.549306,0.159971
Mumbai,164.0,Rejected,0.0,0.323594,0.061359
Mumbai,165.0,Rejected,0.0,0.0,0.135135
Mumbai,166.0,Rejected,0.0,0.0,0.0
Mumbai,167.0,Rejected,0.0,0.0,0.116143
Mumbai,168.0,Rejected,0.0,0.0,0.0
Mumbai,169.0,Rejected,0.0,0.0,0.0
Mumbai,170.0,Rejected,0.0,0.0,0.0
Mumbai,171.0,Rejected,0.0,0.0,0.0
Mumbai,172.0,Rejected,0.0,0.0,0.0
Mumbai,173.0,Rejected,0.0,0.0,0.0
Mumbai,174.0,Rejected,0.0,0.0,0.0
Mumbai,175.0,Rejected,0.0,0.0,0.219138
Mumbai,176.0,Rural,0.0,0.042367,0.865595
Mumbai,177.0,Rural,0.0,0.0,1.0
Mumbai,178.0,Rural,0.0,0.0,0.727538
Mumbai,179.0,Rejected,0.0,0.0,0.479182
Mumbai,180.0,Rural,0.0,0.30441,0.674253
Mumbai,181.0,PeriUrban,0.295106,0.457268,0.247626
Mumbai,182.0,Rural,0.081081,0.338203,0.580716
Mumbai,183.0,Rural,0.0,0.007305,0.992695
Mumbai,184.0,Rural,0.0,0.008766,0.907962
Mumbai,185.0,Rejected,0.0,0.0,0.400292
Mumbai,186.0,Rural,0.0,0.0,0.764792
Mumbai,187.0,Rural,0.0,0.0,1.0
Mumbai,188.0,Rural,0.0,0.0,0.766253
Mumbai,189.0,Rejected,0.0,0.0,0.0
Mumbai,190.0,Rejected,0.0,0.0,0.0
Mumbai,191.0,Rejected,0.0,0.0,0.071585
Mumbai,192.0,PeriUrban,0.0,0.723156,0.075237
Mumbai,193.0,PeriUrban,0.0,0.646457,0.138057
Mumbai,194.0,PeriUrban,0.0,0.6355,0.005113
Mumbai,195.0,PeriUrban,0.341125,0.430972,0.0
Mumbai,196.0,Urban,0.964938,0.035062,0.0
Mumbai,197.0,Urban,1.0,0.0,0.0
Mumbai,198.0,Urban,0.802045,0.195763,0.002191
Mumbai,199.0,PeriUrban,0.048364,0.593883,0.357752
Mumbai,200.0,Urban,0.616508,0.367421,0.01607
Mumbai,201.0,PeriUrban,0.415632,0.584368,0.0
Mumbai,202.0,PeriUrban,0.089116,0.707085,0.044558
Mumbai,203.0,Rejected,0.0,0.0,0.006574
Mumbai,204.0,Rejected,0.0,0.0,0.019722
Mumbai,205.0,Rural,0.0,0.220599,0.422206
Mumbai,206.0,PeriUrban,0.0,0.504748,0.246896
Mumbai,207.0,Rural,0.0,0.330898,0.464573
Mumbai,208.0,PeriUrban,0.0,0.616643,0.101707
Mumbai,209.0,Rejected,0.0,0.140248,0.224251
Mumbai,210.0,Rejected,0.0,0.0,0.331629
Mumbai,211.0,Rural,0.0,0.014609,0.517166
Mumbai,212.0,Rural,0.0,0.0,0.800584
Mumbai,213.0,Rural,0.0,0.294375,0.656684
Mumbai,214.0,PeriUrban,0.0,0.909423,0.090577
Mumbai,215.0,Rural,0.0,0.471877,0.528123
Mumbai,216.0,Rural,0.0,0.040175,0.959825
Mumbai,217.0,Rural,0.0,0.0,0.515705
Mumbai,218.0,Rural,0.0,0.001422,0.531294
Mumbai,219.0,PeriUrban,0.149744,0.352812,0.430972
Mumbai,220.0,Rural,0.027027,0.395909,0.577064
Mumbai,221.0,PeriUrban,0.213294,0.687363,0.099343
Mumbai,222.0,PeriUrban,0.0,0.867056,0.132944
Mumbai,223.0,PeriUrban,0.0,0.547845,0.431702
Mumbai,224.0,Rural,0.0,0.129291,0.437546
Mumbai,225.0,Rejected,0.0,0.0,0.402484
Mumbai,226.0,Rejected,0.0,0.0,0.083272
Mumbai,227.0,Rejected,0.0,0.0,0.0
Mumbai,228.0,Rejected,0.0,0.0,0.0
Mumbai,229.0,Rejected,0.0,0.0,0.0
Mumbai,230.0,Rejected,0.0,0.103725,0.0
Mumbai,231.0,PeriUrban,0.051863,0.733382,0.053324
Mumbai,232.0,Urban,0.563915,0.436085,0.0
Mumbai,233.0,Urban,0.835646,0.164354,0.0
Mumbai,234.0,Urban,1.0,0.0,0.0
Mumbai,235.0,Urban,1.0,0.0,0.0
Mumbai,236.0,Urban,0.514974,0.485026,0.0
Mumbai,237.0,PeriUrban,0.47155,0.52845,0.0
Mumbai,238.0,Urban,0.622352,0.377648,0.0
Mumbai,239.0,Urban,0.676406,0.323594,0.0
Mumbai,240.0,Urban,0.767714,0.230095,0.002191
Mumbai,241.0,Rural,0.069394,0.406136,0.157779
Mumbai,242.0,Rejected,0.0,0.17458,0.008035
Mumbai,243.0,Rejected,0.0,0.287071,0.010226
Mumbai,244.0,PeriUrban,0.354273,0.641344,0.0
