District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Kolkata,0.0,Rejected,0.0,0.0,0.0
Kolkata,1.0,Rejected,0.0,0.0,0.0
Kolkata,2.0,Rejected,0.0,0.0,0.0
Kolkata,3.0,Rejected,0.0,0.0,0.0
Kolkata,4.0,Rejected,0.0,0.0,0.0
Kolkata,5.0,Rejected,0.0,0.297297,0.152666
Kolkata,6.0,Rejected,0.0,0.003556,0.047653
Kolkata,7.0,Rejected,0.0,0.0,0.0
Kolkata,8.0,Rejected,0.0,0.0,0.0
Kolkata,9.0,Rejected,0.0,0.0,0.0
Kolkata,10.0,Rejected,0.0,0.0,0.0
Kolkata,11.0,Rejected,0.0,0.0,0.0
Kolkata,12.0,Rejected,0.0,0.0,0.0
Kolkata,13.0,Rejected,0.0,0.0,0.0
Kolkata,14.0,Rejected,0.0,0.0,0.0
Kolkata,15.0,Rejected,0.0,0.0,0.0
Kolkata,16.0,Rejected,0.0,0.0,0.106647
Kolkata,17.0,Rejected,0.0,0.0,0.208912
Kolkata,18.0,Rejected,0.0,0.0,0.440467
Kolkata,19.0,Rural,0.0,0.0,0.71439
Kolkata,20.0,Rejected,0.0,0.0,0.0
Kolkata,21.0,Rejected,0.0,0.0,0.0
Kolkata,22.0,Rejected,0.0,0.0,0.0
Kolkata,23.0,Rejected,0.0,0.0,0.0
Kolkata,24.0,Rejected,0.0,0.0,0.0
Kolkata,25.0,Rejected,0.0,0.0,0.0
Kolkata,26.0,Rejected,0.0,0.0,0.0
Kolkata,27.0,Rejected,0.0,0.0,0.0
Kolkata,28.0,Rejected,0.0,0.0,0.0
Kolkata,29.0,Rejected,0.0,0.0,0.0
Kolkata,30.0,Rural,0.0,0.0,0.831994
Kolkata,31.0,Rural,0.0,0.033601,0.966399
Kolkata,32.0,Rural,0.0,0.104456,0.895544
Kolkata,33.0,Rural,0.0,0.0,0.657414
Kolkata,34.0,Rejected,0.0,0.0,0.0
Kolkata,35.0,Rejected,0.0,0.0,0.0
Kolkata,36.0,Rejected,0.0,0.0,0.0
Kolkata,37.0,Rejected,0.0,0.0,0.0
Kolkata,38.0,Rejected,0.0,0.0,0.0
Kolkata,39.0,Rejected,0.0,0.0,0.0
Kolkata,40.0,Rejected,0.0,0.0,0.0
Kolkata,41.0,Rejected,0.0,0.0,0.0
Kolkata,42.0,Rejected,0.0,0.0,0.0
Kolkata,43.0,Rejected,0.0,0.0,0.128561
Kolkata,44.0,Rural,0.0,0.089116,0.908692
Kolkata,45.0,PeriUrban,0.0,0.940102,0.059898
Kolkata,46.0,PeriUrban,0.0,0.52374,0.47626
Kolkata,47.0,Rural,0.0,0.0,0.523009
Kolkata,48.0,Rejected,0.0,0.0,0.0
