District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Hyderabad,0.0,Rejected,0.0,0.0,0.0
Hyderabad,1.0,Rejected,0.0,0.0,0.0
Hyderabad,2.0,Rejected,0.0,0.0,0.0
Hyderabad,3.0,Rejected,0.0,0.0,0.0
Hyderabad,4.0,Rejected,0.0,0.0,0.0
Hyderabad,5.0,Rejected,0.0,0.0,0.0
Hyderabad,6.0,Rejected,0.0,0.0,0.0
Hyderabad,7.0,Rejected,0.0,0.0,0.0
Hyderabad,8.0,Rejected,0.0,0.0,0.106647
Hyderabad,9.0,Rejected,0.0,0.0,0.393314
Hyderabad,10.0,Rural,0.0,0.009496,0.499635
Hyderabad,11.0,Rejected,0.0,0.084733,0.249817
Hyderabad,12.0,Rejected,0.0,0.0,0.017531
Hyderabad,13.0,Rejected,0.0,0.0,0.0
Hyderabad,14.0,Rejected,0.0,0.0,0.0
Hyderabad,15.0,Rejected,0.0,0.0,0.0
Hyderabad,16.0,Rejected,0.0,0.0,0.0
Hyderabad,17.0,Rejected,0.0,0.0,0.0
Hyderabad,18.0,Rejected,0.0,0.0,0.0
Hyderabad,19.0,Rejected,0.0,0.0,0.0
Hyderabad,20.0,Rejected,0.0,0.0,0.0
Hyderabad,21.0,Rejected,0.0,0.0,0.0
Hyderabad,22.0,Rejected,0.0,0.0,0.0
Hyderabad,23.0,Rejected,0.0,0.0,0.0
Hyderabad,24.0,Rejected,0.0,0.0,0.00073
Hyderabad,25.0,Rejected,0.0,0.0,0.441928
Hyderabad,26.0,Rural,0.0,0.0,0.791088
Hyderabad,27.0,Rural,0.0,0.0,0.994887
Hyderabad,28.0,Rural,0.0,0.0,1.0
Hyderabad,29.0,Rural,0.0,0.23886,0.76114
Hyderabad,30.0,PeriUrban,0.0,0.990504,0.009496
Hyderabad,31.0,Rural,0.0,0.06428,0.743608
Hyderabad,32.0,Rejected,0.0,0.0,0.097882
Hyderabad,33.0,Rejected,0.0,0.0,0.0
Hyderabad,34.0,Rejected,0.0,0.0,0.0
Hyderabad,35.0,Rejected,0.0,0.0,0.0
Hyderabad,36.0,Rejected,0.0,0.0,0.0
Hyderabad,37.0,Rejected,0.0,0.0,0.0
Hyderabad,38.0,Rejected,0.0,0.0,0.0
Hyderabad,39.0,Rejected,0.0,0.0,0.0
Hyderabad,40.0,Rejected,0.0,0.0,0.0
Hyderabad,41.0,Rejected,0.0,0.0,0.0
Hyderabad,42.0,Rejected,0.0,0.0,0.0
Hyderabad,43.0,Rejected,0.0,0.0,0.393718
Hyderabad,44.0,Rural,0.0,0.0,1.0
Hyderabad,45.0,Rural,0.0,0.0,1.0
Hyderabad,46.0,Rural,0.0,0.086194,0.913806
Hyderabad,47.0,PeriUrban,0.034139,0.673542,0.292319
Hyderabad,48.0,PeriUrban,0.037984,0.575603,0.386413
