District_name,Grid_number,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage
Delhi,0.0,Rejected,0.0,0.0,0.0
Delhi,1.0,Rejected,0.0,0.0,0.0
Delhi,2.0,Rejected,0.0,0.0,0.0
Delhi,3.0,Rejected,0.0,0.0,0.0
Delhi,4.0,Rejected,0.0,0.0,0.0
Delhi,5.0,Rejected,0.0,0.0,0.0
Delhi,6.0,Rejected,0.0,0.0,0.0
Delhi,7.0,Rejected,0.0,0.0,0.0
Delhi,8.0,Rejected,0.0,0.0,0.0
Delhi,9.0,Rejected,0.0,0.0,0.0
Delhi,10.0,Rejected,0.0,0.0,0.0
Delhi,11.0,Rejected,0.0,0.0,0.0
Delhi,12.0,Rejected,0.0,0.0,0.0
Delhi,13.0,Rejected,0.0,0.0,0.0
Delhi,14.0,Rejected,0.0,0.0,0.0
Delhi,15.0,Rejected,0.0,0.0,0.102995
Delhi,16.0,Rejected,0.0,0.0,0.418208
Delhi,17.0,Rural,0.0,0.0,0.604821
Delhi,18.0,Rural,0.0,0.0,0.672754
Delhi,19.0,Rejected,0.0,0.0,0.080351
Delhi,20.0,Rejected,0.0,0.0,0.0
Delhi,21.0,Rejected,0.0,0.0,0.0
Delhi,22.0,Rejected,0.0,0.0,0.0
Delhi,23.0,Rejected,0.0,0.0,0.0
Delhi,24.0,Rejected,0.0,0.0,0.0
Delhi,25.0,Rejected,0.0,0.0,0.0
Delhi,26.0,Rejected,0.0,0.0,0.0
Delhi,27.0,Rejected,0.0,0.0,0.0
Delhi,28.0,Rejected,0.0,0.0,0.0
Delhi,29.0,Rejected,0.0,0.0,0.0
Delhi,30.0,Rejected,0.0,0.0,0.0
Delhi,31.0,Rejected,0.0,0.0,0.0
Delhi,32.0,Rejected,0.0,0.0,0.0
Delhi,33.0,Rejected,0.0,0.0,0.0
Delhi,34.0,Rejected,0.0,0.0,0.0
Delhi,35.0,Rejected,0.0,0.0,0.0
Delhi,36.0,Rejected,0.0,0.0,0.0
Delhi,37.0,Rejected,0.0,0.0,0.0
Delhi,38.0,Rejected,0.0,0.0,0.0
Delhi,39.0,Rejected,0.0,0.0,0.0
Delhi,40.0,Rejected,0.0,0.0,0.0
Delhi,41.0,Rejected,0.0,0.0,0.0
Delhi,42.0,Rejected,0.0,0.0,0.0
Delhi,43.0,Rejected,0.0,0.0,0.0
Delhi,44.0,Rejected,0.0,0.0,0.0
Delhi,45.0,Rejected,0.0,0.0,0.0
Delhi,46.0,Rejected,0.0,0.0,0.0
Delhi,47.0,Rejected,0.0,0.0,0.0
Delhi,48.0,Rejected,0.0,0.0,0.0
Delhi,49.0,Rejected,0.0,0.0,0.0
Delhi,50.0,Rejected,0.0,0.0,0.0
Delhi,51.0,Rejected,0.0,0.0,0.0
Delhi,52.0,Rejected,0.0,0.0,0.0
Delhi,53.0,Rejected,0.0,0.0,0.0
Delhi,54.0,Rejected,0.0,0.0,0.0
Delhi,55.0,Rejected,0.0,0.0,0.0
Delhi,56.0,Rejected,0.0,0.0,0.0
Delhi,57.0,Rejected,0.0,0.0,0.0
Delhi,58.0,Rejected,0.0,0.0,0.0
Delhi,59.0,Rejected,0.0,0.0,0.0
Delhi,60.0,Rejected,0.0,0.0,0.0
Delhi,61.0,Rejected,0.0,0.0,0.0
Delhi,62.0,Rejected,0.0,0.0,0.0
Delhi,63.0,Rejected,0.0,0.0,0.0
Delhi,64.0,Rural,0.0,0.0,0.653762
Delhi,65.0,Rural,0.0,0.0,1.0
Delhi,66.0,Rural,0.0,0.0,1.0
Delhi,67.0,Rural,0.0,0.0,1.0
Delhi,68.0,Rejected,0.0,0.0,0.077429
Delhi,69.0,Rejected,0.0,0.0,0.0
Delhi,70.0,Rejected,0.0,0.0,0.0
Delhi,71.0,Rejected,0.0,0.0,0.0
Delhi,72.0,Rejected,0.0,0.0,0.0
Delhi,73.0,Rejected,0.0,0.0,0.0
Delhi,74.0,Rejected,0.0,0.0,0.0
Delhi,75.0,Rejected,0.0,0.0,0.0
Delhi,76.0,Rejected,0.0,0.0,0.0
Delhi,77.0,Rejected,0.0,0.0,0.0
Delhi,78.0,Rejected,0.0,0.0,0.0
Delhi,79.0,Rejected,0.0,0.0,0.0
Delhi,80.0,Rejected,0.0,0.0,0.0
Delhi,81.0,Rejected,0.0,0.0,0.0
Delhi,82.0,Rejected,0.0,0.0,0.0
Delhi,83.0,Rejected,0.0,0.0,0.0
Delhi,84.0,Rejected,0.0,0.0,0.0
Delhi,85.0,Rejected,0.0,0.0,0.0
Delhi,86.0,Rejected,0.0,0.0,0.0
Delhi,87.0,Rejected,0.0,0.0,0.0
Delhi,88.0,Rejected,0.0,0.0,0.0
Delhi,89.0,Rejected,0.0,0.0,0.0
Delhi,90.0,Rejected,0.0,0.0,0.0
Delhi,91.0,Rejected,0.0,0.0,0.0
Delhi,92.0,Rejected,0.0,0.0,0.0
Delhi,93.0,Rejected,0.0,0.0,0.0
Delhi,94.0,Rejected,0.0,0.0,0.0
Delhi,95.0,Rejected,0.0,0.0,0.0
Delhi,96.0,Rejected,0.0,0.0,0.0
Delhi,97.0,Rejected,0.0,0.0,0.0
Delhi,98.0,Rejected,0.0,0.0,0.0
Delhi,99.0,Rejected,0.0,0.0,0.0
Delhi,100.0,Rejected,0.0,0.0,0.0
Delhi,101.0,Rejected,0.0,0.0,0.0
Delhi,102.0,Rejected,0.0,0.0,0.0
Delhi,103.0,Rejected,0.0,0.0,0.0
Delhi,104.0,Rejected,0.0,0.0,0.0
Delhi,105.0,Rejected,0.0,0.0,0.0
Delhi,106.0,Rejected,0.0,0.0,0.0
Delhi,107.0,Rejected,0.0,0.0,0.0
Delhi,108.0,Rejected,0.0,0.0,0.0
